2023-12-08 20:38:21 WARNING Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x2b770bfe7430>: Failed to establish a new connection: [Errno 111] Connection refused')': /api/4504800232407040/store/
2023-12-08 20:38:21 WARNING Retrying (Retry(total=1, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x2b770bfe7880>: Failed to establish a new connection: [Errno 111] Connection refused')': /api/4504800232407040/store/
2023-12-08 20:38:21 WARNING Retrying (Retry(total=0, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x2b770bfe76d0>: Failed to establish a new connection: [Errno 111] Connection refused')': /api/4504800232407040/store/
2023-12-08 20:38:21 WARNING Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x2b770a0f3670>: Failed to establish a new connection: [Errno 111] Connection refused')': /api/4504800232407040/envelope/
2023-12-08 20:38:21 WARNING Retrying (Retry(total=1, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x2b770a0f3f40>: Failed to establish a new connection: [Errno 111] Connection refused')': /api/4504800232407040/envelope/
2023-12-08 20:38:21 WARNING Retrying (Retry(total=0, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x2b775c64bc10>: Failed to establish a new connection: [Errno 111] Connection refused')': /api/4504800232407040/envelope/
2023-12-17 21:51:36 WARNING Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x2abea26ae5e0>: Failed to establish a new connection: [Errno 111] Connection refused')': /api/4504800232407040/store/
2023-12-17 21:51:36 WARNING Retrying (Retry(total=1, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x2abea26aee20>: Failed to establish a new connection: [Errno 111] Connection refused')': /api/4504800232407040/store/
2023-12-17 21:51:36 WARNING Retrying (Retry(total=0, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x2abea26aee80>: Failed to establish a new connection: [Errno 111] Connection refused')': /api/4504800232407040/store/
2023-12-17 21:51:36 WARNING Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x2abee8e7a7c0>: Failed to establish a new connection: [Errno 111] Connection refused')': /api/4504800232407040/envelope/
2023-12-17 21:51:36 WARNING Retrying (Retry(total=1, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x2abea26aeeb0>: Failed to establish a new connection: [Errno 111] Connection refused')': /api/4504800232407040/envelope/
2023-12-17 21:51:36 WARNING Retrying (Retry(total=0, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x2abea26ae130>: Failed to establish a new connection: [Errno 111] Connection refused')': /api/4504800232407040/envelope/
