2023-12-06 16:55:23,931 INFO    MainThread:80353 [wandb_setup.py:_flush():76] Current SDK version is 0.15.12
2023-12-06 16:55:23,932 INFO    MainThread:80353 [wandb_setup.py:_flush():76] Configure stats pid to 80353
2023-12-06 16:55:23,932 INFO    MainThread:80353 [wandb_setup.py:_flush():76] Loading settings from /cluster/home/yutang/.config/wandb/settings
2023-12-06 16:55:23,932 INFO    MainThread:80353 [wandb_setup.py:_flush():76] Loading settings from /cluster/home/yutang/Deep-Knowledge-Tracing/DKT/KnowledgeTracing/evaluation/wandb/settings
2023-12-06 16:55:23,932 INFO    MainThread:80353 [wandb_setup.py:_flush():76] Loading settings from environment variables: {}
2023-12-06 16:55:23,932 INFO    MainThread:80353 [wandb_setup.py:_flush():76] Applying setup settings: {'_disable_service': False}
2023-12-06 16:55:23,932 INFO    MainThread:80353 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program_relpath': 'DKT/KnowledgeTracing/evaluation/run.py', 'program_abspath': '/cluster/home/yutang/Deep-Knowledge-Tracing/DKT/KnowledgeTracing/evaluation/run.py', 'program': '/cluster/home/yutang/Deep-Knowledge-Tracing/DKT/KnowledgeTracing/evaluation/./run.py'}
2023-12-06 16:55:23,932 INFO    MainThread:80353 [wandb_init.py:_log_setup():528] Logging user logs to /cluster/home/yutang/Deep-Knowledge-Tracing/DKT/KnowledgeTracing/evaluation/wandb/run-20231206_165523-mlwz4wrd/logs/debug.log
2023-12-06 16:55:23,932 INFO    MainThread:80353 [wandb_init.py:_log_setup():529] Logging internal logs to /cluster/home/yutang/Deep-Knowledge-Tracing/DKT/KnowledgeTracing/evaluation/wandb/run-20231206_165523-mlwz4wrd/logs/debug-internal.log
2023-12-06 16:55:23,933 INFO    MainThread:80353 [wandb_init.py:init():568] calling init triggers
2023-12-06 16:55:23,933 INFO    MainThread:80353 [wandb_init.py:init():575] wandb.init called with sweep_config: {}
config: {}
2023-12-06 16:55:23,933 INFO    MainThread:80353 [wandb_init.py:init():618] starting backend
2023-12-06 16:55:23,933 INFO    MainThread:80353 [wandb_init.py:init():622] setting up manager
2023-12-06 16:55:23,936 INFO    MainThread:80353 [backend.py:_multiprocessing_setup():105] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2023-12-06 16:55:23,972 INFO    MainThread:80353 [wandb_init.py:init():628] backend started and connected
2023-12-06 16:55:23,991 INFO    MainThread:80353 [wandb_init.py:init():720] updated telemetry
2023-12-06 16:55:24,337 INFO    MainThread:80353 [wandb_init.py:init():753] communicating run to backend with 90.0 second timeout
2023-12-06 16:55:24,953 INFO    MainThread:80353 [wandb_run.py:_on_init():2220] communicating current version
2023-12-06 16:55:24,972 INFO    MainThread:80353 [wandb_run.py:_on_init():2229] got version response 
2023-12-06 16:55:24,972 INFO    MainThread:80353 [wandb_init.py:init():804] starting run threads in backend
2023-12-06 16:55:48,894 INFO    MainThread:80353 [wandb_run.py:_console_start():2199] atexit reg
2023-12-06 16:55:48,900 INFO    MainThread:80353 [wandb_run.py:_redirect():2054] redirect: wrap_raw
2023-12-06 16:55:48,900 INFO    MainThread:80353 [wandb_run.py:_redirect():2119] Wrapping output streams.
2023-12-06 16:55:48,900 INFO    MainThread:80353 [wandb_run.py:_redirect():2144] Redirects installed.
2023-12-06 16:55:48,907 INFO    MainThread:80353 [wandb_init.py:init():845] run started, returning control to user process
2023-12-08 20:38:21,715 WARNING MsgRouterThr:80353 [router.py:message_loop():77] message_loop has been closed
